Date,Kind,Model,Max Mode,Input (w/ Cache Write),Input (w/o Cache Write),Cache Read,Output Tokens,Total Tokens,Cost
"2026-01-24T22:19:39.355Z","Included","auto","No","95023","0","1195008","15323","1305354","0.51"
"2026-01-24T22:06:11.040Z","Included","auto","No","6691","6818","132352","1142","147003","0.06"
"2026-01-24T22:00:21.774Z","Included","auto","No","21462","633723","278016","38184","971385","1.12"
"2026-01-24T21:56:40.629Z","Included","auto","No","6701","0","700160","1302","708163","0.19"
"2026-01-24T21:50:40.227Z","Included","auto","No","7117","0","837120","3682","847919","0.24"
"2026-01-24T21:44:54.753Z","Included","auto","No","5256","2645","649216","2659","659776","0.19"
"2026-01-24T21:43:40.098Z","Included","auto","No","2038","0","477952","1251","481241","0.13"
"2026-01-24T21:42:23.148Z","Included","auto","No","1203","0","316160","705","318068","0.08"
"2026-01-24T21:40:52.008Z","Included","auto","No","4810","0","307200","1780","313790","0.09"
"2026-01-24T21:37:20.760Z","Included","auto","No","6722","3380","445696","3906","459704","0.15"
"2026-01-24T21:33:33.538Z","Included","auto","No","1293","0","292864","643","294800","0.08"
"2026-01-24T21:31:04.238Z","Included","auto","No","1172","0","436736","730","438638","0.12"
"2026-01-24T21:26:52.261Z","Included","auto","No","951","0","289024","463","290438","0.08"
"2026-01-24T21:24:26.913Z","Included","auto","No","2344","2390","285696","1970","292400","0.09"
"2026-01-24T21:22:29.297Z","Included","auto","No","136022","0","706816","1940","844778","0.36"
"2026-01-24T21:19:23.664Z","Included","auto","No","1174","0","271360","447","272981","0.07"
"2026-01-24T21:17:44.103Z","Included","auto","No","2956","0","401664","1111","405731","0.11"
"2026-01-24T21:15:30.688Z","Included","auto","No","5256","0","387072","2783","395111","0.12"
"2026-01-24T21:13:27.048Z","Included","auto","No","6837","3534","623104","4192","637667","0.19"
"2026-01-24T21:08:12.612Z","Included","auto","No","10651","0","1167616","4795","1183062","0.33"
"2026-01-24T20:59:41.254Z","Included","auto","No","17104","2919","950272","7070","977365","0.31"
"2026-01-24T20:57:19.243Z","Included","auto","No","7843","0","454912","3944","466699","0.15"
"2026-01-24T20:55:03.520Z","Included","auto","No","4745","0","257024","3149","264918","0.09"
"2026-01-24T20:52:54.510Z","Included","auto","No","4521","1674","245504","4132","255831","0.09"
"2026-01-24T20:50:55.976Z","Included","auto","No","3472","0","235520","1630","240622","0.07"
"2026-01-24T20:48:11.009Z","Included","auto","No","7336","0","593664","3301","604301","0.18"
"2026-01-24T20:33:29.907Z","Included","auto","No","9554","0","265984","3418","278956","0.10"
"2026-01-24T20:19:27.782Z","Included","auto","No","56062","323708","309410","54848","744028","0.88"
"2026-01-24T20:00:10.475Z","Included","auto","No","128238","0","138752","785","267775","0.20"
"2026-01-24T17:28:38.037Z","Included","auto","No","9581","0","517120","1333","528034","0.15"
"2026-01-24T17:20:15.959Z","Included","auto","No","125690","1972","756736","5792","890190","0.38"
"2026-01-24T16:53:54.751Z","Included","auto","No","12743","0","801792","4492","819027","0.24"
"2026-01-24T16:49:33.973Z","Included","auto","No","188085","97567","447488","27449","760589","0.63"
"2026-01-24T16:39:27.121Z","Included","auto","No","58936","0","2715648","29353","2803937","0.93"
"2026-01-24T16:35:05.920Z","Included","auto","No","18427","1972","870912","2503","893814","0.26"
"2026-01-24T16:18:01.651Z","Included","auto","No","110223","3944","772096","5931","892194","0.37"
"2026-01-24T15:33:21.579Z","Included","auto","No","16658","0","579072","5054","600784","0.20"
"2026-01-24T15:11:09.106Z","Included","auto","No","83461","0","619008","4496","706965","0.29"
"2026-01-24T15:06:23.187Z","Included","auto","No","247414","0","627200","7393","882007","0.51"
"2026-01-24T14:58:38.833Z","Included","auto","No","1848","0","347648","349","349845","0.09"
"2026-01-24T14:56:21.180Z","Included","auto","No","4512","1972","513024","1958","521466","0.15"
"2026-01-24T14:54:19.267Z","Included","auto","No","10801","0","495616","1157","507574","0.14"
"2026-01-24T14:52:56.258Z","Included","auto","No","14001","3944","1128448","7751","1154144","0.35"
"2026-01-24T14:22:02.720Z","Included","auto","No","43055","0","265728","624","309407","0.12"
"2026-01-24T14:02:51.789Z","Included","auto","No","148228","0","1203200","19552","1370980","0.60"
"2026-01-24T13:21:48.814Z","Included","auto","No","35524","0","437248","22704","495476","0.29"
"2026-01-24T13:14:09.750Z","Included","auto","No","23581","0","442368","11564","477513","0.21"
"2026-01-24T12:43:05.734Z","Included","auto","No","49381","0","400384","32984","482749","0.36"
